State,County,FIPS,MapDate,DSCI
CA,Alameda County,06001,20210907,499
CA,Alameda County,06001,20210914,499
CA,Alameda County,06001,20210921,499
CA,Alameda County,06001,20210928,499
CA,Alameda County,06001,20211005,499
CA,Alameda County,06001,20211012,499
CA,Alameda County,06001,20211019,499
CA,Alameda County,06001,20211026,499
CA,Alameda County,06001,20211102,499
CA,Alameda County,06001,20211109,499
CA,Alameda County,06001,20211116,499
CA,Alameda County,06001,20211123,485
CA,Alameda County,06001,20211130,485
CA,Alameda County,06001,20211207,485
CA,Alameda County,06001,20211214,485
CA,Alameda County,06001,20211221,485
CA,Alameda County,06001,20211228,384
CA,Alameda County,06001,20220104,384
CA,Alameda County,06001,20220111,300
CA,Alameda County,06001,20220118,300
CA,Alameda County,06001,20220125,300
CA,Alameda County,06001,20220201,300
CA,Alameda County,06001,20220208,300
CA,Alameda County,06001,20220215,300
CA,Alameda County,06001,20220222,300
CA,Alameda County,06001,20220301,300
CA,Alameda County,06001,20220308,300
CA,Alameda County,06001,20220315,300
CA,Alameda County,06001,20220322,300
CA,Alameda County,06001,20220329,300
CA,Alameda County,06001,20220405,300
CA,Alameda County,06001,20220412,300
CA,Alameda County,06001,20220419,300
CA,Alameda County,06001,20220426,300
CA,Alameda County,06001,20220503,300
CA,Alameda County,06001,20220510,300
CA,Alameda County,06001,20220517,300
CA,Alameda County,06001,20220524,300
CA,Alameda County,06001,20220531,300
CA,Alameda County,06001,20220607,300
CA,Alameda County,06001,20220614,300
CA,Alameda County,06001,20220621,300
CA,Alameda County,06001,20220628,300
CA,Alameda County,06001,20220705,300
CA,Alameda County,06001,20220712,300
CA,Alameda County,06001,20220719,300
CA,Alameda County,06001,20220726,300
CA,Alameda County,06001,20220802,300
CA,Alameda County,06001,20220809,300
CA,Alameda County,06001,20220816,300
CA,Alameda County,06001,20220823,300
CA,Alameda County,06001,20220830,300
CA,Alameda County,06001,20220906,300
CA,Alameda County,06001,20220913,325
CA,Alameda County,06001,20220920,325
CA,Alameda County,06001,20220927,325
CA,Alameda County,06001,20221004,325
CA,Alameda County,06001,20221011,325
CA,Alameda County,06001,20221018,325
CA,Alameda County,06001,20221025,325
CA,Alameda County,06001,20221101,325
CA,Alameda County,06001,20221108,325
CA,Alameda County,06001,20221115,325
CA,Alameda County,06001,20221122,325
CA,Alameda County,06001,20221129,325
CA,Alameda County,06001,20221206,325
CA,Alameda County,06001,20221213,325
CA,Alameda County,06001,20221220,325
CA,Alameda County,06001,20221227,325
CA,Alameda County,06001,20230103,295
CA,Alameda County,06001,20230110,204
CA,Alameda County,06001,20230117,200
CA,Alameda County,06001,20230124,200
CA,Alameda County,06001,20230131,200
CA,Alameda County,06001,20230207,200
CA,Alameda County,06001,20230214,200
CA,Alameda County,06001,20230221,200
CA,Alameda County,06001,20230228,100
CA,Alameda County,06001,20230307,100
CA,Alameda County,06001,20230314,0
CA,Alameda County,06001,20230321,0
CA,Alameda County,06001,20230328,0
CA,Alameda County,06001,20230404,0
CA,Alameda County,06001,20230411,0
CA,Alameda County,06001,20230418,0
CA,Alameda County,06001,20230425,0
CA,Alameda County,06001,20230502,0
CA,Alameda County,06001,20230509,0
CA,Alameda County,06001,20230516,0
CA,Alameda County,06001,20230523,0
CA,Alameda County,06001,20230530,0
CA,Alameda County,06001,20230606,0
CA,Alameda County,06001,20230613,0
CA,Alameda County,06001,20230620,0
CA,Alameda County,06001,20230627,0
CA,Alameda County,06001,20230704,0
CA,Alameda County,06001,20230711,0
